,ISO,emission_avg,emission_percapita
189,SLV,6813.70025,1.087533333
190,SMR,5.937216667,NA
191,SOM,42322.51197,2.805516667
192,SPM,5.378483333,NA
193,SRB,19918.48773,2.676383333
194,SSD,59331.99027,5.535116667
195,STP,265.1486333,1.265033333
196,SUR,10423.66418,17.63765
197,SVK,6655.480933,1.223016667
198,SVN,6218.562933,2.960766667
199,SWE,48972.50155,4.84665
200,SWZ,2516.96145,2.17655
201,SYC,168.2343667,1.64295
202,SYR,13732.01803,0.702983333
203,TCA,51.40218333,1.26765
204,TCD,98454.1256,6.4071
205,TGO,5924.800117,0.7456
206,THA,152990.6048,2.156816667
207,TJK,8929.319283,0.988916667
208,TKL,0.5106,0.323066667
209,TKM,22972.23528,3.825483333
210,TLS,1696.20585,1.354516667
211,TON,113.8985833,1.08035
212,TTO,17524.59562,11.74728333
213,TUN,14088.55718,1.1875
214,TUR,140674.4815,1.71085
215,TUV,14.9942,1.373133333
216,TWN,27090.3813,1.143933333
217,TZA,137928.585,2.417516667
218,UGA,50730.12113,1.244133333
219,UKR,95835.4708,2.153466667
220,URY,31098.18203,9.091966667
221,USA,1187985.301,3.59235
222,UZB,63648.96408,1.9743
223,VAT,0,NA
224,VCT,103.5211,0.981516667
225,VEN,112387.4088,3.758183333
226,VGB,38.18035,1.267333333
227,VIR,138.4090833,NA
228,VNM,104809.3626,1.110083333
229,VUT,407.1358833,1.392533333
230,WLF,1.941016667,NA
231,WSM,353.7358833,1.695616667
232,YEM,12786.52683,0.421133333
233,ZAF,106015.12,1.8528
234,ZMB,81831.92517,4.675616667
235,ZWE,24773.97332,1.66475
