Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","152","Chile","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","19300.315","X","Figure from international organizations",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1456928.486","X","Figure from international organizations",""
"OA","Annual population","344","China, Hong Kong SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","7500.958","X","Figure from international organizations",""
"OA","Annual population","446","China, Macao SAR","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","676.283","X","Figure from international organizations",""
"OA","Annual population","156","China, mainland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1424929.781","X","Figure from international organizations",""
"OA","Annual population","158","China, Taiwan Province of","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","23821.464","X","Figure from international organizations",""
"OA","Annual population","170","Colombia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","50930.662","X","Figure from international organizations",""
"OA","Annual population","174","Comoros","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","806.166","X","Figure from international organizations",""
"OA","Annual population","178","Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5702.174","X","Figure from international organizations",""
"OA","Annual population","184","Cook Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","17.029","X","Figure from international organizations",""
"OA","Annual population","188","Costa Rica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5123.105","X","Figure from international organizations",""
"OA","Annual population","384","Côte d'Ivoire","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26811.79","X","Figure from international organizations",""
"OA","Annual population","191","Croatia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","4096.869","X","Figure from international organizations",""
"OA","Annual population","192","Cuba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11300.698","X","Figure from international organizations",""
"OA","Annual population","531","Curaçao","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","189.288","X","Figure from international organizations",""
"OA","Annual population","196","Cyprus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1237.537","X","Figure from international organizations",""
"OA","Annual population","203","Czechia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10530.953","X","Figure from international organizations",""
"OA","Annual population","408","Democratic People's Republic of Korea","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","25867.467","X","Figure from international organizations",""
"OA","Annual population","180","Democratic Republic of the Congo","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","92853.164","X","Figure from international organizations",""
"OA","Annual population","208","Denmark","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","5825.641","X","Figure from international organizations",""
"OA","Annual population","262","Djibouti","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1090.156","X","Figure from international organizations",""
"OA","Annual population","212","Dominica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","71.995","X","Figure from international organizations",""
"OA","Annual population","214","Dominican Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10999.664","X","Figure from international organizations",""
"OA","Annual population","218","Ecuador","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","17588.595","X","Figure from international organizations",""
"OA","Annual population","818","Egypt","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","107465.134","X","Figure from international organizations",""
